	ID	Female_parent	Male_parent
41427	2107495b	9701987b	0902216
41428	2107501b	9701987b	0902216
41429	2107502b	9701987b	0902216
41430	2107513b	9903666a	0400082d
41431	2107513c	9903666a	0400082d
41432	2107531a	9702631	0706809
41433	2107531b	9702631	0706809
41434	2107537a	9702631	0706809
41435	2107537b	9702631	0706809
41436	2107539b	9702631	0706809
41437	2107540a	9702631	0706809
41438	2107556b	9903666a	0401658a
41439	2107589b	9903666a	0400082d
41440	2107612a	9702631	0706809
41441	2107615a	9702631	0706809
41442	2107615b	9702631	0706809
41443	2107649a	9701987b	0902216
41444	2107649b	9701987b	0902216
41445	2107659a	9702631	0706809
41446	2107659b	9702631	0706809
41447	2107659c	9702631	0706809
41448	2107697a	9701987b	0902216
41449	2107725a	9702631	0706809
41450	2107725b	9702631	0706809
41451	2107728a	9702631	0706809
41452	2107744a	9903666a	0400082d
41453	2107744b	9903666a	0400082d
41454	2107764a	9701987b	0405071
41455	2107764b	9701987b	0405071
41456	2107764c	9701987b	0405071
41457	2107766a	9701987b	0405071
41458	2107766b	9701987b	0405071
41459	2107769b	9701987b	0405071
41460	2107802a	9702631	0706809
41461	2107802b	9702631	0706809
41462	2107806a	9702631	0706809
41463	2107806b	9702631	0706809
41464	2107808b	9702631	0706809
41465	2107808c	9702631	0706809
41466	2107812a	9701987b	0405071
41467	2107812b	9701987b	0405071
41468	2107817a	9701987b	0405071
41469	2107817c	9701987b	0405071
41470	2107818a	9701987b	0405071
41471	2107818b	9701987b	0405071
41472	2107832a	9701987b	0902216
41473	2107832c	9701987b	0902216
41474	2107834a	9701987b	0902216
41475	2107834d	9701987b	0902216
41476	2107835a	9701987b	0902216
41477	2107842a	9702631	0706809
41478	2107842b	9702631	0706809
41479	2107845c	9702631	0706809
41480	2107845d	9702631	0706809
41481	2107851a	9702631	0706809
41482	2107851b	9702631	0706809
41483	2107853b	9702631	0706809
41484	2107854a	9702631	0706809
41485	2107854b	9702631	0706809
41486	2107854c	9702631	0706809
41487	2107854d	9702631	0706809
41488	2107875a	9702631	0706809
41489	2107875b	9702631	0706809
41490	2107882b	0702235b	0701441c
41491	2107887a	0702235b	0701441c
41492	2107887b	0702235b	0701441c
41493	2107896a	0702235b	0701441c
41494	2107923a	0702235b	0701441c
41495	2107926b	0702235b	0701441c
41496	2107935a	9701987b	0902216
41497	2107935b	9701987b	0902216
41498	2107936a	9701987b	0902216
41499	2107937a	9701987b	0902216
41500	2107937b	9701987b	0902216
41501	2107942a	9701987b	0902216
41502	2107944a	9701987b	0902216
41503	2107944b/1	9701987b	0902216
41504	2107945b	9701987b	0902216
41505	2107952a	9701987b	0902216
41506	2107952b	9701987b	0902216
41507	2107952c	9701987b	0902216
41508	2107954b	9701987b	0902216
41509	2107955a	9701987b	0902216
41510	2107961a	9701987b	0902216
41511	2107961b	9701987b	0902216
41512	2107967a	9701987b	0902216
41513	2107967b	9701987b	0902216
41514	2107979a	9701987b	0902216
41515	2107979b	9701987b	0902216
41516	2107994b	9702631	0706809
41517	2108015a	9702631	0706809
